Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
No Time to Die,2021,7.6,"107,163",163,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Thriller
The Guilty,2021,6.3,"64,375",90,Film,R,-,None,None,Severe,None,Moderate,Crime, Drama, Thriller
The Many Saints of Newark,2021,6.4,"27,145",120,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate,Crime, Drama,
Venom: Let There Be Carnage,2021,6.4,"30,443",97,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate,Action, Adventure, Sci-Fi
Dune,2021,8.3,"84,636",155,Film,PG-13,-,None,Moderate,None,Mild,Moderate,Action, Adventure, Drama
Ted Lasso,2021,8.8,"117,562",30,Series,TV-MA,23,Mild,None,Severe,Mild,None,Comedy, Drama, Sport
Free Guy,2021,7.3,"153,835",115,Film,PG-13,-,Mild,Moderate,Moderate,None,Mild,Action, Adventure, Comedy
House of the Dragon,2021,No Rate,No Votes,None,Series,None,10,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Drama
What If...?,2021,7.6,"51,959",None,Series,TV-14,18,None,Moderate,Mild,Mild,Moderate,Animation, Action, Adventure
Sex Education,2021,8.3,"220,201",45,Series,TV-MA,25,Severe,Mild,Severe,Moderate,Mild,Comedy, Drama,
The Walking Dead,2021,8.2,"906,327",44,Series,TV-14,177,Mild,Severe,Moderate,Mild,Severe,Drama, Horror, Thriller
The Chestnut Man,2021,7.9,"15,434",50,Series,TV-MA,6,Mild,Moderate,Mild,None,Moderate,Crime, Drama, Mystery
Foundation,2021,7.4,"16,675",None,Series,TV-14,11,Mild,Moderate,Mild,No Rate,Mild,Drama, Sci-Fi,
The Sopranos,2021,9.2,"340,006",55,Series,TV-MA,86,Severe,Severe,Severe,Severe,Severe,Crime, Drama,
Only Murders in the Building,2021,8.3,"22,988",None,Series,TV-MA,11,Mild,Moderate,Severe,Mild,Mild,Comedy, Crime, Drama
American Horror Story,2021,8,"296,306",60,Series,TV-MA,116,Severe,Severe,Severe,Severe,Severe,Drama, Horror, Thriller
